Date,Holiday,WeekDay,Month,Day,Year
2004-07-04,4th of July,Sunday,7,4,2004
2005-07-04,4th of July,Monday,7,4,2005
2006-07-04,4th of July,Tuesday,7,4,2006
2007-07-04,4th of July,Wednesday,7,4,2007
2008-07-04,4th of July,Friday,7,4,2008
2009-07-04,4th of July,Saturday,7,4,2009
2010-07-04,4th of July,Sunday,7,4,2010
2011-07-04,4th of July,Monday,7,4,2011
2012-07-04,4th of July,Wednesday,7,4,2012
2013-07-04,4th of July,Thursday,7,4,2013
2014-07-04,4th of July,Friday,7,4,2014
2015-07-04,4th of July,Saturday,7,4,2015
2016-07-04,4th of July,Monday,7,4,2016
2017-07-04,4th of July,Tuesday,7,4,2017
2018-07-04,4th of July,Wednesday,7,4,2018
2019-07-04,4th of July,Thursday,7,4,2019
2020-07-04,4th of July,Saturday,7,4,2020
2021-07-04,4th of July,Sunday,7,4,2021
2004-12-25,Christmas Day,Saturday,12,25,2004
2005-12-25,Christmas Day,Sunday,12,25,2005
2006-12-25,Christmas Day,Monday,12,25,2006
2007-12-25,Christmas Day,Tuesday,12,25,2007
2008-12-25,Christmas Day,Thursday,12,25,2008
2009-12-25,Christmas Day,Friday,12,25,2009
2010-12-25,Christmas Day,Saturday,12,25,2010
2011-12-25,Christmas Day,Sunday,12,25,2011
2012-12-25,Christmas Day,Tuesday,12,25,2012
2013-12-25,Christmas Day,Wednesday,12,25,2013
2014-12-25,Christmas Day,Thursday,12,25,2014
2015-12-25,Christmas Day,Friday,12,25,2015
2016-12-25,Christmas Day,Sunday,12,25,2016
2017-12-25,Christmas Day,Monday,12,25,2017
2018-12-25,Christmas Day,Tuesday,12,25,2018
2019-12-25,Christmas Day,Wednesday,12,25,2019
2020-12-25,Christmas Day,Friday,12,25,2020
2021-12-25,Christmas Day,Saturday,12,25,2021
2004-12-24,Christmas Eve,Friday,12,24,2004
2005-12-24,Christmas Eve,Saturday,12,24,2005
2006-12-24,Christmas Eve,Sunday,12,24,2006
2007-12-24,Christmas Eve,Monday,12,24,2007
2008-12-24,Christmas Eve,Wednesday,12,24,2008
2009-12-24,Christmas Eve,Thursday,12,24,2009
2010-12-24,Christmas Eve,Friday,12,24,2010
2011-12-24,Christmas Eve,Saturday,12,24,2011
2012-12-24,Christmas Eve,Monday,12,24,2012
2013-12-24,Christmas Eve,Tuesday,12,24,2013
2014-12-24,Christmas Eve,Wednesday,12,24,2014
2015-12-24,Christmas Eve,Thursday,12,24,2015
2016-12-24,Christmas Eve,Saturday,12,24,2016
2017-12-24,Christmas Eve,Sunday,12,24,2017
2018-12-24,Christmas Eve,Monday,12,24,2018
2019-12-24,Christmas Eve,Tuesday,12,24,2019
2020-12-24,Christmas Eve,Thursday,12,24,2020
2021-12-24,Christmas Eve,Friday,12,24,2021
2007-10-08,Columbus Day,Monday,10,8,2007
2012-10-08,Columbus Day,Monday,10,8,2012
2018-10-08,Columbus Day,Monday,10,8,2018
2006-10-09,Columbus Day,Monday,10,9,2006
2017-10-09,Columbus Day,Monday,10,9,2017
2005-10-10,Columbus Day,Monday,10,10,2005
2011-10-10,Columbus Day,Monday,10,10,2011
2016-10-10,Columbus Day,Monday,10,10,2016
2004-10-11,Columbus Day,Monday,10,11,2004
2010-10-11,Columbus Day,Monday,10,11,2010
2021-10-11,Columbus Day,Monday,10,11,2021
2009-10-12,Columbus Day,Monday,10,12,2009
2015-10-12,Columbus Day,Monday,10,12,2015
2020-10-12,Columbus Day,Monday,10,12,2020
2008-10-13,Columbus Day,Monday,10,13,2008
2014-10-13,Columbus Day,Monday,10,13,2014
2013-10-14,Columbus Day,Monday,10,14,2013
2019-10-14,Columbus Day,Monday,10,14,2019
2010-04-04,Eastern Easter,Sunday,4,4,2010
2007-04-08,Eastern Easter,Sunday,4,8,2007
2018-04-08,Eastern Easter,Sunday,4,8,2018
2004-04-11,Eastern Easter,Sunday,4,11,2004
2015-04-12,Eastern Easter,Sunday,4,12,2015
2012-04-15,Eastern Easter,Sunday,4,15,2012
2017-04-16,Eastern Easter,Sunday,4,16,2017
2020-04-19,Eastern Easter,Sunday,4,19,2020
2009-04-19,Eastern Easter,Sunday,4,19,2009
2014-04-20,Eastern Easter,Sunday,4,20,2014
2006-04-23,Eastern Easter,Sunday,4,23,2006
2011-04-24,Eastern Easter,Sunday,4,24,2011
2008-04-27,Eastern Easter,Sunday,4,27,2008
2019-04-28,Eastern Easter,Sunday,4,28,2019
2021-05-02,Eastern Easter,Sunday,5,2,2021
2005-05-01,Eastern Easter,Sunday,5,1,2005
2016-05-01,Eastern Easter,Sunday,5,1,2016
2013-05-05,Eastern Easter,Sunday,5,5,2013
2020-06-19,Juneteenth,Friday,6,19,2020
2021-06-19,Juneteenth,Saturday,6,19,2021
2004-06-19,Juneteenth,Saturday,6,19,2004
2005-06-19,Juneteenth,Sunday,6,19,2005
2006-06-19,Juneteenth,Monday,6,19,2006
2007-06-19,Juneteenth,Tuesday,6,19,2007
2008-06-19,Juneteenth,Thursday,6,19,2008
2009-06-19,Juneteenth,Friday,6,19,2009
2010-06-19,Juneteenth,Saturday,6,19,2010
2011-06-19,Juneteenth,Sunday,6,19,2011
2012-06-19,Juneteenth,Tuesday,6,19,2012
2013-06-19,Juneteenth,Wednesday,6,19,2013
2014-06-19,Juneteenth,Thursday,6,19,2014
2015-06-19,Juneteenth,Friday,6,19,2015
2016-06-19,Juneteenth,Sunday,6,19,2016
2017-06-19,Juneteenth,Monday,6,19,2017
2018-06-19,Juneteenth,Tuesday,6,19,2018
2019-06-19,Juneteenth,Wednesday,6,19,2019
2008-09-01,Labor Day,Monday,9,1,2008
2014-09-01,Labor Day,Monday,9,1,2014
2013-09-02,Labor Day,Monday,9,2,2013
2019-09-02,Labor Day,Monday,9,2,2019
2007-09-03,Labor Day,Monday,9,3,2007
2012-09-03,Labor Day,Monday,9,3,2012
2018-09-03,Labor Day,Monday,9,3,2018
2006-09-04,Labor Day,Monday,9,4,2006
2017-09-04,Labor Day,Monday,9,4,2017
2005-09-05,Labor Day,Monday,9,5,2005
2011-09-05,Labor Day,Monday,9,5,2011
2016-09-05,Labor Day,Monday,9,5,2016
2004-09-06,Labor Day,Monday,9,6,2004
2010-09-06,Labor Day,Monday,9,6,2010
2021-09-06,Labor Day,Monday,9,6,2021
2009-09-07,Labor Day,Monday,9,7,2009
2015-09-07,Labor Day,Monday,9,7,2015
2020-09-07,Labor Day,Monday,9,7,2020
2008-08-30,Labor Day Weekend,Saturday,9,30,2008
2014-08-30,Labor Day Weekend,Saturday,9,30,2014
2008-08-31,Labor Day Weekend,Sunday,9,31,2008
2014-08-31,Labor Day Weekend,Sunday,9,31,2014
2013-08-31,Labor Day Weekend,Saturday,9,31,2013
2019-08-31,Labor Day Weekend,Saturday,9,31,2019
2013-09-01,Labor Day Weekend,Sunday,9,1,2013
2019-09-01,Labor Day Weekend,Sunday,9,1,2019
2007-09-01,Labor Day Weekend,Saturday,9,1,2007
2012-09-01,Labor Day Weekend,Saturday,9,1,2012
2018-09-01,Labor Day Weekend,Saturday,9,1,2018
2007-09-02,Labor Day Weekend,Sunday,9,2,2007
2012-09-02,Labor Day Weekend,Sunday,9,2,2012
2018-09-02,Labor Day Weekend,Sunday,9,2,2018
2006-09-02,Labor Day Weekend,Saturday,9,2,2006
2017-09-02,Labor Day Weekend,Saturday,9,2,2017
2006-09-03,Labor Day Weekend,Sunday,9,3,2006
2017-09-03,Labor Day Weekend,Sunday,9,3,2017
2005-09-03,Labor Day Weekend,Saturday,9,3,2005
2011-09-03,Labor Day Weekend,Saturday,9,3,2011
2016-09-03,Labor Day Weekend,Saturday,9,3,2016
2005-09-04,Labor Day Weekend,Sunday,9,4,2005
2011-09-04,Labor Day Weekend,Sunday,9,4,2011
2016-09-04,Labor Day Weekend,Sunday,9,4,2016
2004-09-04,Labor Day Weekend,Saturday,9,4,2004
2010-09-04,Labor Day Weekend,Saturday,9,4,2010
2021-09-04,Labor Day Weekend,Saturday,9,4,2021
2004-09-05,Labor Day Weekend,Sunday,9,5,2004
2010-09-05,Labor Day Weekend,Sunday,9,5,2010
2021-09-05,Labor Day Weekend,Sunday,9,5,2021
2009-09-05,Labor Day Weekend,Saturday,9,5,2009
2015-09-05,Labor Day Weekend,Saturday,9,5,2015
2020-09-05,Labor Day Weekend,Saturday,9,5,2020
2009-09-06,Labor Day Weekend,Sunday,9,6,2009
2015-09-06,Labor Day Weekend,Sunday,9,6,2015
2020-09-06,Labor Day Weekend,Sunday,9,6,2020
2007-01-15,"Martin Luther King, Jr. Day",Monday,1,15,2007
2018-01-15,"Martin Luther King, Jr. Day",Monday,1,15,2018
2006-01-16,"Martin Luther King, Jr. Day",Monday,1,16,2006
2012-01-16,"Martin Luther King, Jr. Day",Monday,1,16,2012
2017-01-16,"Martin Luther King, Jr. Day",Monday,1,16,2017
2005-01-17,"Martin Luther King, Jr. Day",Monday,1,17,2005
2011-01-17,"Martin Luther King, Jr. Day",Monday,1,17,2011
2010-01-18,"Martin Luther King, Jr. Day",Monday,1,18,2010
2016-01-18,"Martin Luther King, Jr. Day",Monday,1,18,2016
2021-01-18,"Martin Luther King, Jr. Day",Monday,1,18,2021
2004-01-19,"Martin Luther King, Jr. Day",Monday,1,19,2004
2009-01-19,"Martin Luther King, Jr. Day",Monday,1,19,2009
2015-01-19,"Martin Luther King, Jr. Day",Monday,1,19,2015
2014-01-20,"Martin Luther King, Jr. Day",Monday,1,20,2014
2020-01-20,"Martin Luther King, Jr. Day",Monday,1,20,2020
2008-01-21,"Martin Luther King, Jr. Day",Monday,1,21,2008
2013-01-21,"Martin Luther King, Jr. Day",Monday,1,21,2013
2019-01-21,"Martin Luther King, Jr. Day",Monday,1,21,2019
2009-05-25,Memorial Day,Monday,5,25,2009
2015-05-25,Memorial Day,Monday,5,25,2015
2020-05-25,Memorial Day,Monday,5,25,2020
2008-05-26,Memorial Day,Monday,5,26,2008
2014-05-26,Memorial Day,Monday,5,26,2014
2013-05-27,Memorial Day,Monday,5,27,2013
2019-05-27,Memorial Day,Monday,5,27,2019
2007-05-28,Memorial Day,Monday,5,28,2007
2012-05-28,Memorial Day,Monday,5,28,2012
2018-05-28,Memorial Day,Monday,5,28,2018
2006-05-29,Memorial Day,Monday,5,29,2006
2017-05-29,Memorial Day,Monday,5,29,2017
2005-05-30,Memorial Day,Monday,5,30,2005
2011-05-30,Memorial Day,Monday,5,30,2011
2016-05-30,Memorial Day,Monday,5,30,2016
2004-05-31,Memorial Day,Monday,5,31,2004
2010-05-31,Memorial Day,Monday,5,31,2010
2021-05-31,Memorial Day,Monday,5,31,2021
2012-01-01,New Year's Day,Sunday,1,1,2012
2013-01-01,New Year's Day,Tuesday,1,1,2013
2014-01-01,New Year's Day,Wednesday,1,1,2014
2015-01-01,New Year's Day,Thursday,1,1,2015
2016-01-01,New Year's Day,Friday,1,1,2016
2017-01-01,New Year's Day,Sunday,1,1,2017
2018-01-01,New Year's Day,Monday,1,1,2018
2019-01-01,New Year's Day,Tuesday,1,1,2019
2020-01-01,New Year's Day,Wednesday,1,1,2020
2011-01-01,New Year's Day,Saturday,1,1,2011
2004-01-01,New Year's Day,Thursday,1,1,2004
2005-01-01,New Year's Day,Saturday,1,1,2005
2006-01-01,New Year's Day,Sunday,1,1,2006
2007-01-01,New Year's Day,Monday,1,1,2007
2008-01-01,New Year's Day,Tuesday,1,1,2008
2009-01-01,New Year's Day,Thursday,1,1,2009
2010-01-01,New Year's Day,Friday,1,1,2010
2021-01-01,New Year's Day,Friday,1,1,2021
2004-12-31,New Year’s Eve,Friday,12,31,2004
2005-12-31,New Year’s Eve,Saturday,12,31,2005
2006-12-31,New Year’s Eve,Sunday,12,31,2006
2007-12-31,New Year’s Eve,Monday,12,31,2007
2008-12-31,New Year’s Eve,Wednesday,12,31,2008
2009-12-31,New Year’s Eve,Thursday,12,31,2009
2010-12-31,New Year’s Eve,Friday,12,31,2010
2011-12-31,New Year’s Eve,Saturday,12,31,2011
2012-12-31,New Year’s Eve,Monday,12,31,2012
2013-12-31,New Year’s Eve,Tuesday,12,31,2013
2014-12-31,New Year’s Eve,Wednesday,12,31,2014
2015-12-31,New Year’s Eve,Thursday,12,31,2015
2016-12-31,New Year’s Eve,Saturday,12,31,2016
2017-12-31,New Year’s Eve,Sunday,12,31,2017
2018-12-31,New Year’s Eve,Monday,12,31,2018
2019-12-31,New Year’s Eve,Tuesday,12,31,2019
2020-12-31,New Year’s Eve,Thursday,12,31,2020
2021-12-31,New Year’s Eve,Friday,12,31,2021
2007-11-22,Thanksgiving Day,Thursday,11,22,2007
2012-11-22,Thanksgiving Day,Thursday,11,22,2012
2018-11-22,Thanksgiving Day,Thursday,11,22,2018
2006-11-23,Thanksgiving Day,Thursday,11,23,2006
2017-11-23,Thanksgiving Day,Thursday,11,23,2017
2005-11-24,Thanksgiving Day,Thursday,11,24,2005
2011-11-24,Thanksgiving Day,Thursday,11,24,2011
2016-11-24,Thanksgiving Day,Thursday,11,24,2016
2004-11-25,Thanksgiving Day,Thursday,11,25,2004
2010-11-25,Thanksgiving Day,Thursday,11,25,2010
2021-11-25,Thanksgiving Day,Thursday,11,25,2021
2009-11-26,Thanksgiving Day,Thursday,11,26,2009
2015-11-26,Thanksgiving Day,Thursday,11,26,2015
2020-11-26,Thanksgiving Day,Thursday,11,26,2020
2008-11-27,Thanksgiving Day,Thursday,11,27,2008
2014-11-27,Thanksgiving Day,Thursday,11,27,2014
2013-11-28,Thanksgiving Day,Thursday,11,28,2013
2019-11-28,Thanksgiving Day,Thursday,11,28,2019
2007-11-21,Thanksgiving Eve,Wednesday,11,21,2007
2012-11-21,Thanksgiving Eve,Wednesday,11,21,2012
2018-11-21,Thanksgiving Eve,Wednesday,11,21,2018
2006-11-22,Thanksgiving Eve,Wednesday,11,22,2006
2017-11-22,Thanksgiving Eve,Wednesday,11,22,2017
2005-11-23,Thanksgiving Eve,Wednesday,11,23,2005
2011-11-23,Thanksgiving Eve,Wednesday,11,23,2011
2016-11-23,Thanksgiving Eve,Wednesday,11,23,2016
2004-11-24,Thanksgiving Eve,Wednesday,11,24,2004
2010-11-24,Thanksgiving Eve,Wednesday,11,24,2010
2021-11-24,Thanksgiving Eve,Wednesday,11,24,2021
2009-11-25,Thanksgiving Eve,Wednesday,11,25,2009
2015-11-25,Thanksgiving Eve,Wednesday,11,25,2015
2020-11-25,Thanksgiving Eve,Wednesday,11,25,2020
2008-11-26,Thanksgiving Eve,Wednesday,11,26,2008
2014-11-26,Thanksgiving Eve,Wednesday,11,26,2014
2013-11-27,Thanksgiving Eve,Wednesday,11,27,2013
2019-11-27,Thanksgiving Eve,Wednesday,11,27,2019
2004-02-14,Valentine’s Day,Saturday,2,14,2004
2005-02-14,Valentine’s Day,Monday,2,14,2005
2006-02-14,Valentine’s Day,Tuesday,2,14,2006
2007-02-14,Valentine’s Day,Wednesday,2,14,2007
2008-02-14,Valentine’s Day,Thursday,2,14,2008
2009-02-14,Valentine’s Day,Saturday,2,14,2009
2010-02-14,Valentine’s Day,Sunday,2,14,2010
2011-02-14,Valentine’s Day,Monday,2,14,2011
2012-02-14,Valentine’s Day,Tuesday,2,14,2012
2013-02-14,Valentine’s Day,Thursday,2,14,2013
2014-02-14,Valentine’s Day,Friday,2,14,2014
2015-02-14,Valentine’s Day,Saturday,2,14,2015
2016-02-14,Valentine’s Day,Sunday,2,14,2016
2017-02-14,Valentine’s Day,Tuesday,2,14,2017
2018-02-14,Valentine’s Day,Wednesday,2,14,2018
2019-02-14,Valentine’s Day,Thursday,2,14,2019
2020-02-14,Valentine’s Day,Friday,2,14,2020
2021-02-14,Valentine’s Day,Sunday,2,14,2021
2004-11-11,Veterans Day,Thursday,11,11,2004
2005-11-11,Veterans Day,Friday,11,11,2005
2006-11-11,Veterans Day,Saturday,11,11,2006
2007-11-11,Veterans Day,Sunday,11,11,2007
2008-11-11,Veterans Day,Tuesday,11,11,2008
2009-11-11,Veterans Day,Wednesday,11,11,2009
2010-11-11,Veterans Day,Thursday,11,11,2010
2011-11-11,Veterans Day,Friday,11,11,2011
2012-11-11,Veterans Day,Sunday,11,11,2012
2013-11-11,Veterans Day,Monday,11,11,2013
2014-11-11,Veterans Day,Tuesday,11,11,2014
2015-11-11,Veterans Day,Wednesday,11,11,2015
2016-11-11,Veterans Day,Friday,11,11,2016
2017-11-11,Veterans Day,Saturday,11,11,2017
2018-11-11,Veterans Day,Sunday,11,11,2018
2019-11-11,Veterans Day,Monday,11,11,2019
2020-11-11,Veterans Day,Wednesday,11,11,2020
2021-11-11,Veterans Day,Thursday,11,11,2021
2016-02-15,Washington's Birthday,Monday,2,15,2016
2015-02-16,Washington's Birthday,Monday,2,16,2015
2014-02-17,Washington's Birthday,Monday,2,17,2014
2020-02-17,Washington's Birthday,Monday,2,17,2020
2013-02-18,Washington's Birthday,Monday,2,18,2013
2019-02-18,Washington's Birthday,Monday,2,18,2019
2018-02-19,Washington's Birthday,Monday,2,19,2018
2012-02-20,Washington's Birthday,Monday,2,20,2012
2017-02-20,Washington's Birthday,Monday,2,20,2017
2011-02-21,Washington's Birthday,Monday,2,21,2011
2010-02-15,Washington's Birthday,Monday,2,15,2010
2021-02-15,Washington's Birthday,Monday,2,15,2021
2004-02-16,Washington's Birthday,Monday,2,16,2004
2009-02-16,Washington's Birthday,Monday,2,16,2009
2008-02-18,Washington's Birthday,Monday,2,18,2008
2007-02-19,Washington's Birthday,Monday,2,19,2007
2006-02-20,Washington's Birthday,Monday,2,20,2006
2005-02-21,Washington's Birthday,Monday,2,21,2005
2008-03-23,Western Easter,Sunday,3,23,2008
2005-03-27,Western Easter,Sunday,3,27,2005
2016-03-27,Western Easter,Sunday,3,27,2016
2013-03-31,Western Easter,Sunday,3,31,2013
2018-04-01,Western Easter,Sunday,4,1,2018
2010-04-04,Western Easter,Sunday,4,4,2010
2021-04-04,Western Easter,Sunday,4,4,2021
2015-04-05,Western Easter,Sunday,4,5,2015
2007-04-08,Western Easter,Sunday,4,8,2007
2012-04-08,Western Easter,Sunday,4,8,2012
2004-04-11,Western Easter,Sunday,4,11,2004
2009-04-12,Western Easter,Sunday,4,12,2009
2020-04-12,Western Easter,Sunday,4,12,2020
2006-04-16,Western Easter,Sunday,4,16,2006
2017-04-16,Western Easter,Sunday,4,16,2017
2014-04-20,Western Easter,Sunday,4,20,2014
2019-04-21,Western Easter,Sunday,4,21,2019
2011-04-24,Western Easter,Sunday,4,24,2011